HourEnding,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2019-01-01 01:00:00,9783.59,1264.19,3164.72,827.76,11697.77,3066.89,5993.97,1282.54,37081.44
2019-01-01 02:00:00,9726.06,1270.49,3178.95,830.26,11787.94,3140.38,6029.77,1295.13,37258.99
2019-01-01 03:00:00,9654.37,1269.50,3200.88,831.51,11861.63,3137.72,6043.35,1301.23,37300.19
2019-01-01 04:00:00,9631.74,1243.17,3221.96,839.69,11989.11,3105.50,6086.41,1305.98,37423.54
2019-01-01 05:00:00,9698.89,1309.57,3240.63,848.67,12219.11,3078.26,6180.94,1319.14,37895.21
2019-01-01 06:00:00,9850.79,1364.25,3259.30,874.46,12631.94,3096.46,6394.97,1352.92,38825.09
2019-01-01 07:00:00,10053.12,1414.87,3282.58,907.06,13073.65,3130.35,6662.74,1386.28,39910.66
2019-01-01 08:00:00,10088.53,1407.53,3291.42,930.81,13427.37,3096.18,6775.91,1418.82,40436.56
2019-01-01 09:00:00,10001.45,1438.71,3303.18,954.01,13834.75,3082.60,6874.32,1461.14,40950.16
2019-01-01 10:00:00,9947.81,1438.88,3346.02,980.07,14452.58,3084.49,7023.88,1489.75,41763.47
2019-01-01 11:00:00,9953.01,1411.74,3371.66,992.92,14934.42,3061.29,7030.86,1494.03,42249.94
2019-01-01 12:00:00,9905.20,1369.21,3371.56,993.25,15208.94,3044.23,6907.52,1496.77,42296.68
2019-01-01 13:00:00,9760.65,1319.39,3386.18,978.51,15171.92,3008.08,6768.36,1486.09,41879.18
2019-01-01 14:00:00,9639.94,1258.41,3391.14,967.56,14971.35,2957.98,6721.81,1468.12,41376.31
2019-01-01 15:00:00,9520.58,1254.02,3370.74,960.32,14719.89,2925.67,6787.92,1452.21,40991.35
2019-01-01 16:00:00,9503.75,1233.61,3359.43,963.57,14659.66,2916.31,6912.71,1466.85,41015.89
2019-01-01 17:00:00,9618.59,1284.28,3365.12,980.23,15006.43,2954.29,7145.43,1487.81,41842.18
2019-01-01 18:00:00,10143.49,1353.61,3405.09,1036.23,15909.35,3089.90,7586.90,1534.17,44058.74
2019-01-01 19:00:00,10372.18,1447.56,3454.41,1060.54,16367.46,3254.02,7865.29,1579.17,45400.62
2019-01-01 20:00:00,10309.19,1415.78,3475.77,1054.58,16295.13,3277.81,7836.90,1580.88,45246.04
2019-01-01 21:00:00,10168.58,1426.40,3464.32,1049.37,16186.61,3268.51,7709.59,1570.92,44844.31
2019-01-01 22:00:00,9952.24,1382.89,3441.43,1030.56,15779.65,3236.46,7532.94,1545.61,43901.78
2019-01-01 23:00:00,9587.76,1353.96,3398.60,992.66,15093.00,3135.01,7153.15,1492.45,42206.60
2019-01-02 00:00:00,9170.21,1277.55,3361.04,965.20,14422.31,3000.41,6849.03,1449.08,40494.84
2019-01-02 01:00:00,8889.36,1184.11,3324.88,938.64,14014.61,2940.09,6573.77,1381.27,39246.74
2019-01-02 02:00:00,8661.62,1164.74,3318.67,926.05,13809.74,2869.63,6459.94,1367.58,38577.96
2019-01-02 03:00:00,8565.02,1162.65,3306.43,918.48,13787.78,2857.40,6470.46,1365.91,38434.14
2019-01-02 04:00:00,8624.58,1178.84,3325.50,925.79,13959.93,2889.29,6549.62,1377.43,38830.98
2019-01-02 05:00:00,8904.37,1231.53,3357.09,944.33,14449.91,2981.98,6803.05,1399.82,40072.09
2019-01-02 06:00:00,9460.87,1317.15,3392.22,989.21,15426.51,3174.25,7276.34,1449.24,42485.80
2019-01-02 07:00:00,10145.87,1416.94,3422.65,1040.53,16532.66,3426.48,7798.06,1516.54,45299.72
2019-01-02 08:00:00,10719.56,1509.71,3482.55,1082.01,17300.13,3618.55,8122.80,1585.32,47420.62
2019-01-02 09:00:00,11011.67,1566.73,3512.52,1102.65,17722.31,3736.94,8262.73,1632.34,48547.91
2019-01-02 10:00:00,11344.97,1592.50,3535.34,1121.42,18144.82,3878.72,8408.56,1652.86,49679.19
2019-01-02 11:00:00,11670.70,1620.25,3550.36,1135.35,18453.15,3993.23,8597.97,1661.58,50682.59
2019-01-02 12:00:00,11869.99,1671.60,3544.54,1135.49,18610.03,4049.94,8700.66,1674.26,51256.52
2019-01-02 13:00:00,11921.45,1634.91,3554.85,1125.79,18660.12,4115.29,8737.77,1664.13,51414.31
2019-01-02 14:00:00,11990.49,1628.05,3539.89,1130.91,18594.30,4139.24,8774.26,1658.07,51455.22
2019-01-02 15:00:00,11891.91,1666.70,3508.77,1125.77,18461.26,4158.59,8796.56,1653.88,51263.44
2019-01-02 16:00:00,11866.58,1708.09,3488.68,1130.56,18357.93,4189.34,8802.21,1605.80,51149.18
2019-01-02 17:00:00,11920.25,1713.23,3475.90,1131.80,18447.06,4240.85,8849.01,1603.40,51381.51
2019-01-02 18:00:00,12191.09,1751.15,3489.32,1144.92,19033.91,4365.86,9089.26,1652.05,52717.56
2019-01-02 19:00:00,12231.21,1776.05,3530.74,1148.59,19166.89,4524.19,9198.11,1701.35,53277.13
2019-01-02 20:00:00,12051.04,1714.30,3535.02,1130.15,18671.24,4502.35,9012.41,1692.70,52309.22
2019-01-02 21:00:00,11792.79,1616.52,3522.81,1108.08,18096.98,4441.90,8796.11,1668.67,51043.85
2019-01-02 22:00:00,11304.97,1615.33,3471.55,1065.61,17345.28,4303.84,8462.68,1624.77,49194.03
2019-01-02 23:00:00,10744.83,1519.09,3433.47,1020.80,16244.53,4091.07,8016.52,1557.85,46628.17
2019-01-03 00:00:00,10113.38,1441.31,3398.57,978.10,15384.92,3855.40,7608.08,1507.68,44287.43
2019-01-03 01:00:00,9450.69,1366.52,3274.51,952.18,15000.55,3625.73,7280.71,1519.68,42470.57
2019-01-03 02:00:00,9135.34,1307.14,3254.20,935.26,14672.14,3517.88,7124.01,1499.53,41445.49
2019-01-03 03:00:00,8975.36,1323.31,3235.83,934.34,14548.26,3472.00,7081.08,1491.73,41061.89
2019-01-03 04:00:00,8939.24,1311.64,3239.97,937.10,14537.78,3462.03,7105.53,1486.59,41019.87
2019-01-03 05:00:00,9142.80,1351.48,3276.33,953.25,14927.88,3552.28,7289.48,1505.75,41999.26
2019-01-03 06:00:00,9627.39,1407.05,3311.92,980.57,15687.06,3753.24,7704.10,1553.54,44024.87
2019-01-03 07:00:00,10282.26,1519.66,3350.99,1017.68,16555.53,4013.10,8207.39,1625.81,46572.41
2019-01-03 08:00:00,10818.68,1602.24,3403.31,1044.09,17067.75,4158.76,8496.54,1664.47,48255.85
2019-01-03 09:00:00,11200.70,1631.35,3392.05,1049.59,17058.89,4205.15,8493.94,1653.16,48684.83
2019-01-03 10:00:00,11605.75,1639.62,3353.36,1057.47,17146.75,4198.29,8272.73,1622.66,48896.63
2019-01-03 11:00:00,12008.42,1663.51,3317.14,1063.62,17234.58,4163.94,8000.33,1574.50,49026.03
2019-01-03 12:00:00,12152.43,1669.41,3277.80,1060.64,17130.85,4097.91,7640.20,1511.68,48540.92
2019-01-03 13:00:00,12067.16,1661.44,3208.02,1047.28,16860.80,3910.88,7305.66,1431.21,47492.46
2019-01-03 14:00:00,12005.59,1621.53,3145.51,1036.95,16493.19,3677.49,6959.94,1372.66,46312.87
2019-01-03 15:00:00,11821.09,1581.10,3105.89,1021.88,16259.87,3445.08,6655.30,1325.91,45216.12
2019-01-03 16:00:00,11744.48,1546.72,3090.38,1011.61,16130.84,3255.03,6458.65,1292.70,44530.41
2019-01-03 17:00:00,11812.20,1630.65,3094.12,1007.43,16323.30,3166.45,6459.77,1278.74,44772.65
2019-01-03 18:00:00,12257.41,1685.48,3141.15,1033.42,17013.78,3223.41,6835.71,1322.52,46512.88
2019-01-03 19:00:00,12556.83,1738.68,3235.98,1055.27,17504.28,3563.51,7514.50,1427.53,48596.59
2019-01-03 20:00:00,12488.25,1734.83,3276.91,1039.28,17410.62,3723.19,7684.08,1457.62,48814.78
2019-01-03 21:00:00,12362.74,1719.03,3308.10,1023.16,17160.68,3847.36,7766.51,1459.60,48647.18
2019-01-03 22:00:00,12056.22,1667.14,3306.80,996.58,16689.63,3908.81,7682.98,1457.14,47765.30
2019-01-03 23:00:00,11561.89,1590.17,3260.21,956.91,15860.30,3888.17,7474.94,1428.40,46021.00
2019-01-04 00:00:00,11103.18,1524.39,3215.75,922.31,15044.51,3770.85,7211.11,1399.75,44191.87
2019-01-04 01:00:00,10927.19,1516.04,3251.65,907.43,14312.92,3719.53,7036.88,1390.63,43062.28
2019-01-04 02:00:00,10758.05,1497.08,3251.42,898.69,14060.33,3673.59,6993.25,1383.46,42515.87
2019-01-04 03:00:00,10704.51,1501.98,3258.36,893.49,13962.13,3667.64,6994.48,1384.88,42367.49
2019-01-04 04:00:00,10783.36,1477.76,3276.69,900.47,14123.13,3706.64,7065.90,1398.08,42732.04
2019-01-04 05:00:00,11072.04,1483.63,3283.62,915.21,14461.96,3792.12,7266.96,1429.32,43704.85
2019-01-04 06:00:00,11656.24,1600.66,3308.18,953.64,15252.29,4009.66,7744.56,1493.83,46019.06
