Optimizer,Type,Optimized Cost,Function Calls,Temperature Violation,Ramping Violation,Date,Notes
SNOPT,Constrained,19084.013798990018,3969,0.0,0.0,2020-04-01 11:12:55,
SNOPT,Penalized,19175.604290990603,2865,0.0,0.0,2020-04-01 11:13:30,
Nelder-Mead,Penalized,7902541925860.883,13903,10901.438521705892,0.0,2020-04-01 11:24:14,
SLSQP,Constrained,21569.964500297374,2697,0.0,0.0,2020-04-01 11:24:30,
SLSQP,Penalized,21343.193232599264,6506,0.0,0.0,2020-04-01 11:24:52,
Custom GA,Constrained,15787080982142.873,72821,3981.990020397721,1220.7269103608487,2020-04-04 11:22:58,
Custom GA,Constrained,4094119749507.377,72821,4653.813886686114,22.028896701303893,2020-04-04 11:35:27,
Custom GA,Constrained,3858311584179.627,18746,4847.043847661009,0.0,2020-04-04 11:52:23,Test
Custom GA Test,Constrained,4083103739401.353,18746,4668.232827884043,0.0,2020-04-04 11:56:24,Test
Custom GA Test,Constrained,4065377248563.0967,18746,4998.370949347152,0.0,2020-04-04 12:13:38,Test
Custom GA Test,Constrained,88981903614084.22,18746,1042.564648108539,8761.125304861234,2020-04-04 12:17:53,Test
Custom GA Test,Constrained,265513502877248.1,18746,1142.5745688067161,26420.393578634044,2020-04-04 12:35:39,Test
Custom GA Test,Constrained,4087820939986.133,18746,5025.59079640901,0.0,2020-04-04 12:40:48,Test
Custom GA Test,Constrained,13208260959276.393,18746,5445.800881535386,873.2350486086798,2020-04-04 12:44:32,Test
Custom GA Test,Constrained,6032632887004.588,18746,7757.9263422887525,0.0,2020-04-04 12:47:36,Test
Custom GA Test,Constrained,9547235445601.72,18746,7087.88521650295,0.0,2020-04-04 12:54:19,Test
Custom GA Test,Constrained,9414553756207.31,18746,6959.742359541383,0.0,2020-04-04 12:58:51,Test
Custom GA Test,Constrained,29467273678660.266,18746,31951.51410986584,0.0,2020-04-04 13:03:00,Test
Custom GA Test,Constrained,9599304788205.906,18746,7178.4423529799,0.0,2020-04-04 13:05:58,Test
Custom GA Test,Constrained,9560390611860.283,18746,7136.530613651147,0.0,2020-04-04 13:08:43,Test
Custom GA Test,Constrained,57008222101.58997,7931,8.458300385142138,0.0,2020-04-04 13:11:28,Test
Custom GA Test,Constrained,51788553501324.63,7931,0.0,5178.855344034753,2020-04-04 13:12:49,Test
Custom GA Test,Constrained,43133.74448588234,7931,0.0,0.0,2020-04-04 13:16:02,Test
Custom GA Test,Constrained,24487998376159.53,7931,1.7023929371935085,2447.0974386416488,2020-04-04 13:18:05,Test
Custom GA Test,Constrained,245532787494.24875,7931,72.02200849232781,0.0,2020-04-04 13:19:44,Test
Custom GA Test,Constrained,186103168190.18985,7931,50.1048023991484,0.0,2020-04-04 13:21:17,Test
Custom GA Test,Constrained,175947655301.1558,7931,45.966750645892496,0.0,2020-04-04 13:22:43,Test
Custom GA Test,Constrained,3408671532080.9883,7931,999.818730069332,218.44715308299786,2020-04-04 13:24:19,Test
Custom GA Test,Constrained,15564099459094.658,7931,871.4094451739612,1433.1085439628878,2020-04-04 13:25:39,Test
Custom GA,Constrained,31963.545484977163,72821,0.0,0.0,2020-04-04 13:36:14,lb 1e3 ub 8e4
Custom GA,Constrained,29765.617030730118,72821,0.0,0.0,2020-04-04 13:48:18,lb 1e3 ub 8e4
Custom GA,Constrained,22217944899.92453,72821,2.221790807474917,0.0,2020-04-04 14:35:18,lb 1e3 ub 8e4
Scipy GA Polished,Penalized,16762357182080.053,368685,18180.989769161108,0.0,2020-04-04 14:37:28,"lb 1e3 ub 8e4 Polished with L-BFGS-B, Maximum number of iterations has been exceeded."
Custom GA,Constrained,25608.364531659554,72821,0.0,0.0,2020-04-04 14:48:03,lb 1e3 ub 8e4
Scipy GA,Penalized,2439574292825.332,360360,3578.5780127248076,0.0,2020-04-04 14:52:19,"lb 1e3 ub 8e4, Maximum number of iterations has been exceeded."
Scipy GA Polished,Penalized,3558533636738.8813,363135,4823.636889205717,0.0,2020-04-04 15:08:30,"lb 1e3 ub 8e4 Polished with L-BFGS-B, Maximum number of iterations has been exceeded."
Scipy GA,Penalized,25792.99610575672,114840,0.0,0.0,2020-04-04 15:13:09,"lb 1e3 ub 8e4, Optimization terminated successfully."
Scipy GA,Constrained,4406455207633992.0,0,1345.1147816726275,440294.4198243486,2020-04-04 16:17:06,"lb 1e3 ub 8e4, Scaled, The solution does not satisfy the constraints, MAXCV = "
Scipy trust-constr,Penalized,21737.03523052576,25025,0.0,0.0,2020-04-09 11:05:06,
Custom GA,Constrained,17914253943.41191,72821,1.7914222128893016,0.0,2020-04-09 13:24:30,lb 1e3 ub 8e4
Custom GA,Constrained,144732552935.93668,72821,28.815341468430013,0.0,2020-04-09 13:31:47,lb 1e3 ub 8e4
Custom GA,Constrained,28098.598566308287,72821,0.0,0.0,2020-04-09 13:56:04,lb 1e3 ub 8e4
SLSQP,Constrained,26499.04811825501,8105,7.422196404149872e-07,0.0,2020-04-09 15:25:40,
Nelder-Mead,Penalized,6392553753790.574,13135,6782.84894692769,4.101835656911135e-06,2020-04-09 15:33:35,
SLSQP,Constrained,26499.04811825501,8105,7.422196404149872e-07,0.0,2020-04-09 15:34:03,
SLSQP,Penalized,9644432857662.69,4794,13959.035452642927,0.0,2020-04-09 15:34:13,
Nelder-Mead,Penalized,6392553753790.574,13135,6782.84894692769,4.101835656911135e-06,2020-04-09 15:42:35,
SLSQP,Constrained,26499.04811825501,8105,7.422196404149872e-07,0.0,2020-04-09 15:42:59,
SLSQP,Penalized,9644432857662.69,4794,13959.035452642927,0.0,2020-04-09 15:43:06,
